Scheduler,epoch,step,train_loss,train_loss_desurv,train_loss_values,val_loss,val_loss_desurv,val_loss_values
,0,0,,,,2.7432453632354736,3.0175695419311523,0.0
,0,1,,,,2.7429585456848145,3.017254114151001,0.0
,0,2,,,,2.7423582077026367,3.0165939331054688,0.0
,0,3,,,,2.741464853286743,3.015611171722412,0.0
,0,4,,,,2.7402923107147217,3.0143215656280518,0.0
,0,5,,,,2.7388243675231934,3.012706756591797,0.0
,0,6,,,,2.737098217010498,3.010807991027832,0.0
,0,7,,,,2.7352325916290283,3.008755683898926,0.0
,0,8,,,,2.7331037521362305,3.0064139366149902,0.0
,0,9,,,,2.7306530475616455,3.003718137741089,0.0
,0,10,,,,2.7278892993927,3.000678062438965,0.0
,0,11,,,,2.7248036861419678,2.997284173965454,0.0
,0,12,,,,2.7213451862335205,2.9934794902801514,0.0
,0,13,,,,2.717642307281494,2.9894063472747803,0.0
,0,14,,,,2.713663339614868,2.985029697418213,0.0
,0,15,,,,2.7093944549560547,2.9803338050842285,0.0
,0,16,,,,2.7050223350524902,2.975524425506592,0.0
,0,17,,,,2.700450897216797,2.9704959392547607,0.0
,0,18,,,,2.6956465244293213,2.9652111530303955,0.0
5.699999999999999e-07,,19,,,,,,
,0,19,2.5076417922973633,2.758405923843384,0.0,,,
,0,19,,,,2.6904594898223877,2.959505319595337,0.0
,0,20,,,,2.6850314140319824,2.9535346031188965,0.0
,0,21,,,,2.679379940032959,2.9473178386688232,0.0
,0,22,,,,2.6735634803771973,2.9409196376800537,0.0
