epoch,step,test_loss,test_loss_desurv,test_loss_values,train_loss,train_loss_desurv,train_loss_values,val_loss,val_loss_desurv,val_loss_values,warmup+cawarmrestartsdecay/pg1,warmup+cawarmrestartsdecay/pg2
0,0,,,,,,,0.5442515015602112,0.5442515015602112,0.0,,
0,1,,,,,,,0.5090434551239014,0.5090434551239014,0.0,,
0,2,,,,,,,0.4474789500236511,0.4474789500236511,0.0,,
0,3,,,,,,,0.37093156576156616,0.37093156576156616,0.0,,
0,4,,,,,,,0.29079216718673706,0.29079216718673706,0.0,,
0,5,,,,,,,0.22478778660297394,0.22478778660297394,0.0,,
0,6,,,,,,,0.17473533749580383,0.17473533749580383,0.0,,
0,7,,,,,,,0.13939014077186584,0.13939014077186584,0.0,,
0,8,,,,,,,0.11470279842615128,0.11470279842615128,0.0,,
0,9,,,,,,,0.09675724059343338,0.09675724059343338,0.0,,
0,10,,,,,,,0.08318693935871124,0.08318693935871124,0.0,,
0,11,,,,,,,0.0728076845407486,0.0728076845407486,0.0,,
0,12,,,,,,,0.06446598470211029,0.06446598470211029,0.0,,
0,13,,,,,,,0.05742571875452995,0.05742571875452995,0.0,,
0,14,,,,,,,0.051691263914108276,0.051691263914108276,0.0,,
0,15,,,,,,,0.04628182202577591,0.04628182202577591,0.0,,
0,16,,,,,,,0.04126643016934395,0.04126643016934395,0.0,,
0,17,,,,,,,0.0365857258439064,0.0365857258439064,0.0,,
0,18,,,,,,,0.032154373824596405,0.032154373824596405,0.0,,
,19,,,,,,,,,,0.0004130434782608696,0.0002478260869565217
0,19,,,,0.032230060547590256,0.032230060547590256,0.0,,,,,
0,19,,,,,,,0.027949851006269455,0.027949851006269455,0.0,,
0,20,,,,,,,0.024094823747873306,0.024094823747873306,0.0,,
0,21,,,,,,,0.020633317530155182,0.020633317530155182,0.0,,
0,22,,,,,,,0.017576714977622032,0.017576714977622032,0.0,,
1,23,0.017797959968447685,0.017797959968447685,0.0,,,,,,,,
